,E128,E16,E2,E32,E4,E64,E8,H128,H16,H2,H32,H4,H64,H8,dnabert-s,unweighted_unifrac,weighted_unifrac,braycurtis,manhattan,euclidean,cosine
H32,0.9893906499107081,0.9886392664557289,0.7568601922861194,0.9911998937730562,0.9271956663503113,0.9862924540690197,0.9763948056534915,0.9964803048689258,0.9930018901690932,0.6722558829096985,,0.8268690666977636,0.9945767324441143,0.9258704017822847,0.8150597171348026,0.43272708812091865,0.7848879130632488,0.4996439315184915,0.4996439315184911,0.7930122752514663,0.45802684066779803
H4,0.835845274010513,0.8206566680232156,0.5914895111085702,0.8276232405962773,0.7654874649359895,0.8257256530847763,0.7931875453300498,0.8317253882242627,0.8188277784298655,0.9120350327539609,0.8268690666977636,,0.8336323447063162,0.9545336457893906,0.7450821867937226,0.31222102990999084,0.5288685840006491,0.278677394053453,0.27867739405345265,0.8277488090157167,0.2360263050790005
H64,0.9907976428201412,0.9875542532125501,0.7490595026075523,0.9908142968220842,0.9293603419640654,0.9868777877975271,0.9740345074587583,0.9960267203766439,0.9921318681947895,0.6718935753011286,0.9945767324441143,0.8336323447063162,,0.9333637146396614,0.8118974511936934,0.4207865351542854,0.7736444889942653,0.49028923918667194,0.4902892391866716,0.8071971725978659,0.44880954462275635
H8,0.9333596322615796,0.922849308575337,0.6642281922366413,0.9259809115474343,0.8672658343034538,0.9229140955504698,0.9004796152455633,0.9298561047785685,0.9232416305830764,0.8166386874640877,0.9258704017822847,0.9545336457893906,0.9333637146396614,,0.7885038729141348,0.34949510588907745,0.6286385293787382,0.3509201658307799,0.3509201658307798,0.8603017535484309,0.3056852257340074
dnabert-s,0.8163604515086331,0.8035587088526953,0.6019035889447047,0.8152349350891431,0.7210956741988458,0.8211607102235339,0.777082171579307,0.8180075982741064,0.801292810182441,0.6840471036743041,0.8150597171348026,0.7450821867937226,0.8118974511936934,0.7885038729141348,,0.39360595590406255,0.6606861963441827,0.4634203526328835,0.4634203526328831,0.8214317553784116,0.42688011874387854
unweighted_unifrac,0.41564955178568774,0.42267312571489496,0.3150741578348991,0.4260185190033468,0.34394288157425484,0.42638904475526535,0.4386031740467653,0.43064766314061426,0.4249100046435493,0.30524293870917657,0.43272708812091865,0.31222102990999084,0.4207865351542854,0.34949510588907745,0.39360595590406255,,0.5155814749023793,0.669303162594893,0.6693031625948924,0.2764838736927325,0.5682176787406077
weighted_unifrac,0.7542549710730658,0.7822458014524225,0.6875054000599639,0.7898543563815881,0.7793999022002298,0.7871631859198885,0.8085482988073446,0.7849161058134164,0.7877151661848207,0.43558390647874573,0.7848879130632488,0.5288685840006491,0.7736444889942653,0.6286385293787382,0.6606861963441827,0.5155814749023793,,0.6296406072315037,0.6296406072315035,0.5149147770487694,0.5897530292059058
braycurtis,0.4825093145342777,0.4898240107611778,0.3730067810811904,0.49768428096309525,0.4386991673846989,0.4987855401797603,0.4907043674358698,0.49823759444088084,0.4897527493789292,0.22475476304881453,0.4996439315184915,0.278677394053453,0.49028923918667194,0.3509201658307799,0.4634203526328835,0.669303162594893,0.6296406072315037,,0.9999999999999999,0.3651369837225646,0.9534875970902786
manhattan,0.48250931453427753,0.4898240107611782,0.37300678108119023,0.4976842809630955,0.43869916738469905,0.4987855401797604,0.4907043674358697,0.4982375944408805,0.4897527493789285,0.22475476304881445,0.4996439315184911,0.27867739405345265,0.4902892391866716,0.3509201658307798,0.4634203526328831,0.6693031625948924,0.6296406072315035,0.9999999999999999,,0.36513698372256453,0.9534875970902781
euclidean,0.8172195416999489,0.7932623514628614,0.5281005416643643,0.8051449806137014,0.7337104434153633,0.8058155913448415,0.7441482083902438,0.8026828307077772,0.7814756483328232,0.7278888953186994,0.7930122752514663,0.8277488090157167,0.8071971725978659,0.8603017535484309,0.8214317553784116,0.2764838736927325,0.5149147770487694,0.3651369837225646,0.36513698372256453,,0.32716786121256863
cosine,0.4415996466259595,0.4488023370105127,0.346318181492216,0.45566488166316915,0.4054370769479399,0.45684009382752694,0.44967358219209747,0.45620806897327876,0.44920022679774313,0.18340969212292865,0.45802684066779803,0.2360263050790005,0.44880954462275635,0.3056852257340074,0.42688011874387854,0.5682176787406077,0.5897530292059058,0.9534875970902786,0.9534875970902781,0.32716786121256863,
